id,code_site,depth_m,sieve_mm,passants_pct,echantillon_id,created_at,updated_at
238,KONSOGOU_T1,2,0.0153,19.58,b734d3fa-e838-4c2c-8292-1785199b5fc3,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
237,KONSOGOU_T1,2,0.024,20.45,b734d3fa-e838-4c2c-8292-1785199b5fc3,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
236,KONSOGOU_T1,2,0.0338,21.32,b734d3fa-e838-4c2c-8292-1785199b5fc3,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
235,KONSOGOU_T1,2,0.0474,22.19,b734d3fa-e838-4c2c-8292-1785199b5fc3,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
252,KONSOGOU_T2,1,0.0066,22.38,3c58aa2e-d8f1-4c61-9dfc-0ce646d35d6f,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
251,KONSOGOU_T2,1,0.008,23.64,3c58aa2e-d8f1-4c61-9dfc-0ce646d35d6f,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
250,KONSOGOU_T2,1,0.0112,26.2,3c58aa2e-d8f1-4c61-9dfc-0ce646d35d6f,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
249,KONSOGOU_T2,1,0.0157,27.47,3c58aa2e-d8f1-4c61-9dfc-0ce646d35d6f,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
248,KONSOGOU_T2,1,0.0219,30.03,3c58aa2e-d8f1-4c61-9dfc-0ce646d35d6f,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
247,KONSOGOU_T2,1,0.0304,33.85,3c58aa2e-d8f1-4c61-9dfc-0ce646d35d6f,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
246,KONSOGOU_T2,1,0.0468,38.96,3c58aa2e-d8f1-4c61-9dfc-0ce646d35d6f,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
245,KONSOGOU_T2,1,0.0656,40.23,3c58aa2e-d8f1-4c61-9dfc-0ce646d35d6f,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
244,KONSOGOU_T2,1,0.0921,41.51,3c58aa2e-d8f1-4c61-9dfc-0ce646d35d6f,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
261,KONSOGOU_T2,1.5,0.003,7.25,6c6475c3-7c5d-4b39-8e0e-a0bd7f0c38c0,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
260,KONSOGOU_T2,1.5,0.0036,7.23,6c6475c3-7c5d-4b39-8e0e-a0bd7f0c38c0,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
259,KONSOGOU_T2,1.5,0.0051,7.93,6c6475c3-7c5d-4b39-8e0e-a0bd7f0c38c0,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
258,KONSOGOU_T2,1.5,0.0072,8.62,6c6475c3-7c5d-4b39-8e0e-a0bd7f0c38c0,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
257,KONSOGOU_T2,1.5,0.01,9.98,6c6475c3-7c5d-4b39-8e0e-a0bd7f0c38c0,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
256,KONSOGOU_T2,1.5,0.0141,10.67,6c6475c3-7c5d-4b39-8e0e-a0bd7f0c38c0,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
255,KONSOGOU_T2,1.5,0.0219,12.73,6c6475c3-7c5d-4b39-8e0e-a0bd7f0c38c0,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
254,KONSOGOU_T2,1.5,0.0308,13.42,6c6475c3-7c5d-4b39-8e0e-a0bd7f0c38c0,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
