id,essai_id,systeme,classe,reason,version,computed,source,meta,created_at,updated_at,created_by,updated_by,created_by_batch,updated_by_batch,deleted_by_batch,deleted_at
22e73ee0-d4dd-4ac8-9c0a-cdd6bd80d085,68659f21-7b5b-4e43-b110-90e1d62f7631,USCS,sol fin silteux,Classification unifiée,,False,,{},2025-11-03 17:38:37.592,2025-11-03 17:38:37.592,,,MD-20251103-ANYO,,,
aa07baec-cd33-4500-8bce-543c72b59ead,bc4b0c29-be0a-4b4d-bf52-8a4c6c260e64,AASHTO,A-7-6,"WL=61.5, IP=38.5",,False,,{},2025-11-03 17:56:38.794,2025-11-03 17:56:38.794,,,MD-20251103-NGOAPO,,,
8289aa1f-52b6-4904-9e2a-b00103a552d9,bc4b0c29-be0a-4b4d-bf52-8a4c6c260e64,USCS,Sol argileux peu plastique,Classification unifiée,,False,,{},2025-11-03 17:56:38.794,2025-11-03 17:56:38.794,,,MD-20251103-NGOAPO,,,
3b18dae3-7502-4284-aad5-234481f3b61f,909965e3-806a-4259-ba0f-0a06874992e3,AASHTO,A-6,"WL=37.0, IP=13.0",,False,,{},2025-11-03 17:56:38.794,2025-11-03 17:56:38.794,,,MD-20251103-NGOAPO,,,
08566173-d1a7-483d-b1c0-c3f284b1e527,909965e3-806a-4259-ba0f-0a06874992e3,USCS,Sol argileux peu plastique,Classification unifiée,,False,,{},2025-11-03 17:56:38.794,2025-11-03 17:56:38.794,,,MD-20251103-NGOAPO,,,
ceb8bae6-cfaa-4acd-8687-932b7ca4e9d2,7d9d4b35-f13f-4aea-b964-f695d8a0da12,AASHTO,A-6,"WL=34.5, IP=12.5",,False,,{},2025-11-03 17:56:38.794,2025-11-03 17:56:38.794,,,MD-20251103-NGOAPO,,,
772c9018-f5e6-40a9-a7be-abad85a543b8,7d9d4b35-f13f-4aea-b964-f695d8a0da12,USCS,Sol argileux peu plastique,Classification unifiée,,False,,{},2025-11-03 17:56:38.794,2025-11-03 17:56:38.794,,,MD-20251103-NGOAPO,,,
f30cabd7-e1d0-4065-ac30-ce54f4f15a42,015eba1c-1a6a-412c-ad52-57795712f49a,AASHTO,A-4,"WL=26.33, IP=8.33",,False,,{},2025-11-03 17:56:38.794,2025-11-03 17:56:38.794,,,MD-20251103-NGOAPO,,,
c33d2bae-fd76-424d-8f27-b7fb22a295f4,015eba1c-1a6a-412c-ad52-57795712f49a,USCS,Sol argileux peu plastique,Classification unifiée,,False,,{},2025-11-03 17:56:38.794,2025-11-03 17:56:38.794,,,MD-20251103-NGOAPO,,,
f88a3d20-436c-49eb-928c-6985894301b9,70af2729-9913-4a60-8096-01df5947d1cb,AASHTO,A-7-6,"WL=48.5, IP=31.5",,False,,{},2025-11-03 17:56:38.794,2025-11-03 17:56:38.794,,,MD-20251103-NGOAPO,,,
22b9e545-b6d6-4430-9480-d9396c7ebe29,70af2729-9913-4a60-8096-01df5947d1cb,USCS,Sol argileux peu plastique,Classification unifiée,,False,,{},2025-11-03 17:56:38.794,2025-11-03 17:56:38.794,,,MD-20251103-NGOAPO,,,
fe56e196-6dfd-4f4b-b0c6-263dffa660af,d9e3efb5-7f7f-45bf-8aee-71b32aa58807,AASHTO,A-7-6,"WL=52.0, IP=37.0",,False,,{},2025-11-03 17:56:38.794,2025-11-03 17:56:38.794,,,MD-20251103-NGOAPO,,,
4169117d-ccfe-410a-982d-fd235612e9db,d9e3efb5-7f7f-45bf-8aee-71b32aa58807,USCS,Sol peu plastique,Classification unifiée,,False,,{},2025-11-03 17:56:38.794,2025-11-03 17:56:38.794,,,MD-20251103-NGOAPO,,,
928ecb7a-511c-4672-967e-ba0673740932,6b046e67-2018-486b-93df-291f3f573467,AASHTO,A-6,"WL=30.64, IP=12.83",,False,,{},2025-11-03 18:00:21.401,2025-11-03 18:00:21.401,,,MD-20251103-OUDJABITI,,,
67da59bf-073d-4ce8-8da8-8a083401991a,6b046e67-2018-486b-93df-291f3f573467,USCS,Sol grenu argileux,Classification unifiée,,False,,{},2025-11-03 18:00:21.401,2025-11-03 18:00:21.401,,,MD-20251103-OUDJABITI,,,
0888c770-cecc-4c54-9ecd-1ccb7762b3a7,6655c66a-4542-468f-9b4b-5aa3ed12d74c,AASHTO,A-6,"WL=34.91, IP=18.83",,False,,{},2025-11-03 18:00:21.401,2025-11-03 18:00:21.401,,,MD-20251103-OUDJABITI,,,
6d942b77-2457-46bf-813b-594df42894ca,6655c66a-4542-468f-9b4b-5aa3ed12d74c,USCS,Sol grenu argileux,Classification unifiée,,False,,{},2025-11-03 18:00:21.401,2025-11-03 18:00:21.401,,,MD-20251103-OUDJABITI,,,
19c5eaab-1b62-4c5c-bcdb-6b88dad8541a,92cc68be-dd55-414b-ae0f-eadd3e541454,AASHTO,A-6,"WL=37.44, IP=20.03",,False,,{},2025-11-03 18:00:21.401,2025-11-03 18:00:21.401,,,MD-20251103-OUDJABITI,,,
fa2c5c4a-86aa-4550-8f3b-b162eab289e9,92cc68be-dd55-414b-ae0f-eadd3e541454,USCS,Sol fin argileux,Classification unifiée,,False,,{},2025-11-03 18:00:21.401,2025-11-03 18:00:21.401,,,MD-20251103-OUDJABITI,,,
51c20b70-87e8-4621-a703-90cf52647506,f3516a5a-5129-4ffe-87e5-665c36d7a38f,AASHTO,A-6,"WL=35.03, IP=23.09",,False,,{},2025-11-03 18:00:21.401,2025-11-03 18:00:21.401,,,MD-20251103-OUDJABITI,,,
64e11fa7-0a6a-4750-bbb5-f857adbd3428,f3516a5a-5129-4ffe-87e5-665c36d7a38f,USCS,Sol fin argileux,Classification unifiée,,False,,{},2025-11-03 18:00:21.401,2025-11-03 18:00:21.401,,,MD-20251103-OUDJABITI,,,
cf323e71-3647-4726-b083-14398b83b84b,de32c411-d7a8-4f96-86fd-084f4164c7ef,AASHTO,A-6,"WL=30.79, IP=17.87",,False,,{},2025-11-03 18:00:21.401,2025-11-03 18:00:21.401,,,MD-20251103-OUDJABITI,,,
19b2cac6-6ace-4cdd-9319-a67da7cfaaff,de32c411-d7a8-4f96-86fd-084f4164c7ef,USCS,Sol fin argileux,Classification unifiée,,False,,{},2025-11-03 18:00:21.401,2025-11-03 18:00:21.401,,,MD-20251103-OUDJABITI,,,
86713ead-ec47-4c5b-a260-750e81553fbf,43766d56-01f9-460c-b939-35d81d904c55,AASHTO,A-6,"WL=27.14, IP=15.42",,False,,{},2025-11-03 18:00:21.401,2025-11-03 18:00:21.401,,,MD-20251103-OUDJABITI,,,
0be2bdaf-47c8-4eac-b192-ae90627e97c2,43766d56-01f9-460c-b939-35d81d904c55,USCS,Sol fin argileux,Classification unifiée,,False,,{},2025-11-03 18:00:21.401,2025-11-03 18:00:21.401,,,MD-20251103-OUDJABITI,,,
15f7e5f9-b82c-4471-b447-e6a2235cbafc,b744e8c0-8d62-4335-8c63-3d34ed4b9158,AASHTO,sol argileux,Classification HRB,,False,,{},2025-11-03 18:02:07.196,2025-11-03 18:02:07.196,,,MD-20251103-SOGLO,,,
90918c4c-ad5f-473c-ba7d-818d0e2b5484,729db7be-950a-44cd-a6a5-c03bf0402580,AASHTO,sol argileux,Classification HRB,,False,,{},2025-11-03 18:02:07.196,2025-11-03 18:02:07.196,,,MD-20251103-SOGLO,,,
