id,code_site,depth_m,sieve_mm,mass_refus_cum_g,refus_cum_pct,passants_pct,echantillon_id,created_at,updated_at
415,DZOGBECOPE,2,0.0046,,,38.18,40296bf0-750c-44b8-8470-bcd92ff7a782,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
450,TEKPO,1,40,,,100,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
449,TEKPO,1,31.5,,,100,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
448,TEKPO,1,20,,,100,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
447,TEKPO,1,10,,,100,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
446,TEKPO,1,5,,,100,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
445,TEKPO,1,2.5,0.47,0.07,99.93,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
444,TEKPO,1,1.25,3.13,0.52,99.48,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
443,TEKPO,1,0.63,51.91,8.08,91.92,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
442,TEKPO,1,0.315,139.37,28.36,71.64,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
441,TEKPO,1,0.16,133.31,47.76,52.24,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
440,TEKPO,1,0.08,43.6,54.11,45.89,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
439,TEKPO,1,0.0555,,,40.57,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
